order_id,customer_id,product_id,quantity,price,order_date
1,467,16,4,296.13,2025-09-13
2,388,100,3,28.93,2025-03-20
3,142,146,1,287.79,2024-02-12
4,460,157,5,56.42,2023-12-07
5,363,80,4,102.06,2025-09-29
6,173,186,2,150.58,2024-03-21
7,431,5,5,94.69,2023-11-28
8,46,129,2,283.85,2025-01-08
9,255,26,2,102.99,2025-08-15
10,62,106,3,58.94,2024-05-17
11,123,118,4,117.29,2024-06-28
12,352,103,2,268.18,2025-11-09
13,262,176,1,224.27,2024-01-21
14,177,18,5,228.48,2025-03-25
15,38,28,4,13.03,2023-12-07
16,372,36,1,170.8,2024-08-08
17,220,7,5,186.49,2025-06-09
18,252,114,1,185.61,2024-01-30
19,444,71,5,251.31,2025-03-16
20,365,37,4,49.73,2023-12-06
21,271,118,2,117.29,2025-04-28
22,452,196,3,191.04,2025-11-16
23,393,25,5,34.55,2024-10-24
24,395,8,4,299.91,2024-12-31
25,1,81,5,122.0,2024-01-01
26,118,68,2,87.2,2025-06-24
27,105,6,1,189.5,2024-01-11
28,5,176,4,224.27,2025-05-10
29,362,145,1,225.34,2025-06-30
30,470,3,3,216.27,2025-04-23
31,84,4,1,265.85,2025-10-23
32,147,38,1,202.09,2024-06-26
33,365,110,3,272.58,2025-06-07
34,380,10,1,64.27,2024-12-11
35,176,144,1,296.05,2025-09-12
36,228,178,2,216.5,2024-10-26
37,248,13,5,152.62,2025-06-16
38,381,84,5,27.59,2024-06-29
39,287,69,3,214.22,2025-05-04
40,268,84,4,27.59,2024-07-22
41,483,101,3,137.08,2025-04-14
42,458,102,5,225.32,2025-06-27
43,356,155,2,277.53,2025-03-12
44,274,89,4,62.79,2024-10-29
45,20,31,5,65.52,2025-10-25
46,465,55,2,233.67,2025-04-03
47,170,23,5,76.23,2025-08-31
48,145,3,5,216.27,2025-09-30
49,449,188,3,261.14,2025-11-01
50,263,100,4,28.93,2024-12-01
51,1,190,2,139.51,2024-07-02
52,253,195,3,287.42,2025-01-21
53,495,27,3,33.89,2025-05-10
54,298,50,5,145.02,2025-02-23
55,135,58,4,297.13,2024-08-27
56,205,71,3,251.31,2025-03-04
57,106,121,1,191.26,2024-07-16
58,320,122,5,140.85,2024-10-16
59,322,93,1,20.63,2025-06-08
60,299,129,1,283.85,2024-12-30
61,188,137,3,84.4,2025-08-21
62,214,193,3,24.52,2025-03-13
63,29,95,3,243.1,2024-11-15
64,121,43,1,226.19,2024-08-10
65,392,123,1,80.99,2025-01-17
66,474,100,4,28.93,2024-01-24
67,135,13,5,152.62,2025-07-15
68,40,148,3,258.69,2023-11-26
69,490,14,2,148.25,2025-10-13
70,87,25,2,34.55,2024-04-25
71,474,51,1,154.18,2024-12-14
72,464,68,3,87.2,2025-07-07
73,5,106,3,58.94,2024-10-22
74,397,32,1,252.03,2025-07-23
75,219,147,5,158.27,2025-04-12
76,153,75,3,171.55,2024-11-21
77,335,32,5,252.03,2024-09-25
78,153,24,5,76.2,2024-02-22
79,440,128,4,202.65,2025-03-23
80,421,79,2,276.58,2024-08-28
81,335,195,5,287.42,2025-05-02
82,194,41,5,132.18,2024-11-06
83,482,32,3,252.03,2025-10-09
84,110,7,5,186.49,2024-11-09
85,119,30,2,190.64,2025-11-18
86,347,19,5,95.07,2024-11-21
87,211,134,2,194.77,2025-08-18
88,19,19,3,95.07,2025-05-23
89,215,53,4,110.05,2025-05-18
90,317,98,2,115.64,2025-01-26
91,381,127,5,207.78,2024-05-14
92,405,49,1,243.1,2025-02-07
93,326,116,4,83.36,2024-05-15
94,340,118,1,117.29,2025-03-04
95,155,188,5,261.14,2025-07-09
96,351,161,1,266.65,2025-04-15
97,100,164,2,88.85,2025-11-16
98,140,66,1,212.04,2025-04-30
99,47,166,5,55.91,2025-09-04
100,366,31,3,65.52,2024-04-16
101,444,159,3,211.44,2025-08-24
102,13,74,3,183.4,2024-08-22
103,340,45,3,79.31,2025-06-01
104,63,19,4,95.07,2024-04-03
105,451,13,3,152.62,2024-03-15
106,306,62,4,228.02,2024-09-04
107,368,178,2,216.5,2025-09-29
108,309,67,4,147.93,2024-01-18
109,158,52,4,55.43,2023-12-01
110,38,79,1,276.58,2024-03-01
111,154,24,2,76.2,2025-10-21
112,430,188,3,261.14,2024-12-08
113,390,57,4,230.97,2024-03-18
114,84,129,5,283.85,2025-03-03
115,229,135,3,197.02,2024-06-25
116,237,11,3,224.57,2025-01-31
117,250,191,4,228.4,2024-07-01
118,4,135,3,197.02,2025-03-02
119,280,147,1,158.27,2024-02-03
120,5,171,4,260.38,2024-01-04
121,327,41,2,132.18,2025-06-14
122,432,50,3,145.02,2024-05-02
123,30,63,5,171.68,2025-05-17
124,237,200,5,155.06,2025-05-03
125,219,64,3,125.81,2023-12-01
126,451,160,4,79.31,2024-05-20
127,416,67,5,147.93,2024-04-23
128,123,29,2,223.7,2024-04-15
129,378,64,1,125.81,2024-08-10
130,93,57,2,230.97,2024-11-16
131,112,40,2,138.64,2024-10-13
132,250,194,1,153.91,2025-11-18
133,262,44,5,12.61,2024-09-07
134,120,107,2,190.01,2025-01-19
135,268,66,4,212.04,2025-10-08
136,85,142,4,113.99,2025-04-26
137,118,48,1,191.49,2024-10-26
138,56,68,2,87.2,2024-02-08
139,265,48,1,191.49,2025-03-08
140,378,84,3,27.59,2025-02-25
141,486,7,3,186.49,2025-11-01
142,76,176,3,224.27,2024-04-10
143,349,145,1,225.34,2025-08-17
144,379,31,4,65.52,2025-02-10
145,339,175,3,16.61,2024-10-16
146,110,8,1,299.91,2025-06-30
147,360,86,5,12.5,2025-04-24
148,87,182,3,213.3,2025-07-01
149,50,189,2,155.1,2024-08-05
150,296,118,4,117.29,2025-07-03
151,58,138,1,26.23,2024-05-05
152,226,5,2,94.69,2024-05-28
153,436,163,4,117.02,2024-04-10
154,156,20,4,169.8,2024-04-15
155,385,62,2,228.02,2025-11-23
156,164,177,2,28.39,2025-05-03
157,365,198,4,178.22,2024-04-16
158,12,125,3,247.3,2025-01-20
159,323,100,1,28.93,2024-01-31
160,24,143,2,164.03,2024-01-24
161,256,91,5,167.71,2024-08-02
162,84,83,3,76.7,2024-05-05
163,405,151,3,237.47,2025-01-22
164,411,65,3,130.28,2024-09-06
165,158,52,4,55.43,2025-02-03
166,498,33,4,127.12,2025-10-12
167,64,13,3,152.62,2024-04-26
168,463,182,5,213.3,2024-11-16
169,391,51,3,154.18,2025-03-01
170,342,91,1,167.71,2024-05-24
171,415,15,5,77.23,2025-09-29
172,13,32,2,252.03,2025-03-06
173,296,178,5,216.5,2025-03-29
174,473,17,5,202.16,2024-06-25
175,122,126,2,287.49,2025-09-10
176,260,196,1,191.04,2025-03-02
177,400,142,4,113.99,2024-02-21
178,39,55,4,233.67,2024-12-01
179,151,56,1,184.84,2024-06-12
180,291,80,1,102.06,2024-07-30
181,29,145,2,225.34,2024-06-02
182,485,148,3,258.69,2024-06-25
183,14,116,3,83.36,2024-10-18
184,146,171,1,260.38,2024-12-30
185,36,24,2,76.2,2025-11-15
186,500,38,5,202.09,2023-12-10
187,35,168,3,12.98,2024-07-13
188,471,9,5,94.57,2024-12-08
189,428,95,1,243.1,2025-05-19
190,418,72,4,249.6,2025-01-22
191,227,55,2,233.67,2024-10-17
192,360,32,4,252.03,2025-01-19
193,312,33,5,127.12,2024-07-27
194,469,181,3,201.38,2024-06-21
195,281,29,2,223.7,2025-07-12
196,479,96,5,290.66,2024-06-24
197,338,53,3,110.05,2024-03-24
198,414,177,1,28.39,2025-05-15
199,364,184,1,187.15,2024-09-20
200,497,84,4,27.59,2024-04-14
201,374,131,3,92.44,2024-03-15
202,448,14,2,148.25,2024-07-01
203,208,143,1,164.03,2025-01-08
204,291,36,3,170.8,2025-05-21
205,364,161,4,266.65,2024-09-17
206,494,161,2,266.65,2025-01-01
207,32,195,4,287.42,2024-02-15
208,187,85,5,256.69,2024-08-13
209,26,80,3,102.06,2025-04-28
210,417,98,3,115.64,2025-09-18
211,486,112,2,95.91,2025-05-21
212,172,112,5,95.91,2024-06-09
213,176,117,5,266.42,2025-03-23
214,9,129,2,283.85,2025-03-07
215,476,176,1,224.27,2025-09-17
216,49,118,1,117.29,2024-11-11
217,476,132,1,201.56,2024-02-15
218,301,34,2,256.56,2024-01-20
219,204,158,5,263.13,2024-01-23
220,66,66,2,212.04,2025-06-06
221,116,182,3,213.3,2025-11-14
222,251,90,2,170.4,2024-09-26
223,221,124,1,58.39,2024-10-27
224,92,26,2,102.99,2024-01-06
225,420,46,1,18.39,2024-06-29
226,302,20,4,169.8,2025-04-07
227,129,2,1,193.22,2025-04-01
228,95,71,1,251.31,2024-12-30
229,340,14,3,148.25,2024-01-03
230,382,137,3,84.4,2025-05-28
231,56,161,4,266.65,2024-10-09
232,409,37,3,49.73,2025-07-20
233,245,93,3,20.63,2025-01-17
234,8,109,2,289.37,2025-11-02
235,15,20,1,169.8,2025-11-21
236,478,158,2,263.13,2024-12-24
237,359,63,4,171.68,2025-08-08
238,5,27,4,33.89,2024-10-26
239,305,65,2,130.28,2025-09-09
240,357,188,3,261.14,2024-09-27
241,72,82,5,296.88,2024-01-21
242,133,199,1,83.67,2025-05-28
243,305,41,5,132.18,2025-03-14
244,200,56,2,184.84,2025-03-17
245,137,52,4,55.43,2025-03-26
246,473,181,2,201.38,2024-08-24
247,415,186,3,150.58,2025-04-08
248,184,165,1,269.89,2025-10-19
249,26,44,2,12.61,2025-11-19
250,259,164,4,88.85,2025-08-01
251,292,173,1,115.91,2024-02-20
252,316,172,4,68.3,2025-06-26
253,399,9,5,94.57,2024-01-11
254,347,114,1,185.61,2024-06-01
255,209,67,5,147.93,2024-05-29
256,16,163,1,117.02,2024-02-10
257,358,41,3,132.18,2023-12-14
258,24,109,4,289.37,2025-09-25
259,29,26,2,102.99,2025-06-30
260,402,19,5,95.07,2025-08-10
261,95,165,5,269.89,2025-01-02
262,230,121,3,191.26,2024-04-18
263,80,39,3,190.16,2025-02-05
264,148,76,2,91.97,2025-07-26
265,216,51,5,154.18,2025-07-24
266,159,86,4,12.5,2025-05-04
267,87,47,2,32.9,2024-07-29
268,97,17,4,202.16,2024-09-26
269,368,96,5,290.66,2024-04-09
270,386,15,1,77.23,2024-08-26
271,405,120,4,231.28,2024-01-03
272,383,101,4,137.08,2024-11-07
273,43,14,4,148.25,2024-12-20
274,208,157,1,56.42,2025-04-23
275,155,51,5,154.18,2024-02-26
276,142,148,5,258.69,2024-10-25
277,77,184,2,187.15,2024-05-29
278,94,51,3,154.18,2025-10-07
279,499,58,2,297.13,2024-03-29
280,36,33,3,127.12,2024-06-04
281,375,134,4,194.77,2024-05-20
282,27,69,5,214.22,2023-12-04
283,449,38,5,202.09,2024-11-07
284,11,200,3,155.06,2024-06-10
285,475,76,5,91.97,2025-10-28
286,90,37,3,49.73,2025-09-22
287,185,188,1,261.14,2025-09-26
288,447,102,5,225.32,2025-10-15
289,161,81,4,122.0,2025-08-14
290,315,153,5,242.7,2025-09-11
291,25,8,4,299.91,2024-08-13
292,401,11,5,224.57,2025-01-18
293,374,137,3,84.4,2025-06-27
294,278,123,2,80.99,2024-01-28
295,122,141,5,260.52,2024-06-24
296,85,166,1,55.91,2024-03-05
297,324,19,2,95.07,2025-10-07
298,194,157,4,56.42,2024-05-05
299,476,1,5,185.96,2024-10-16
300,460,156,3,138.8,2024-07-20
301,326,183,4,282.04,2024-12-31
302,46,97,3,255.64,2025-06-29
303,221,116,5,83.36,2025-06-06
304,388,106,3,58.94,2024-01-06
305,329,84,3,27.59,2025-10-04
306,346,148,1,258.69,2024-08-28
307,125,185,2,140.58,2024-01-27
308,61,181,5,201.38,2024-05-20
309,475,22,5,268.32,2025-11-06
310,296,75,5,171.55,2025-03-09
311,448,160,4,79.31,2024-10-09
312,406,122,4,140.85,2024-04-21
313,51,23,3,76.23,2024-02-25
314,426,60,3,258.87,2023-11-25
315,250,53,1,110.05,2023-12-19
316,359,1,1,185.96,2025-06-10
317,55,61,5,265.4,2025-08-13
318,3,31,2,65.52,2024-05-11
319,85,167,1,64.1,2025-01-29
320,481,25,3,34.55,2024-03-28
321,463,54,2,134.16,2024-09-26
322,110,77,1,294.08,2025-07-09
323,248,3,2,216.27,2024-09-02
324,312,180,3,276.9,2025-08-11
325,141,148,4,258.69,2025-09-01
326,204,136,3,24.5,2025-04-17
327,463,60,1,258.87,2025-09-01
328,206,171,4,260.38,2025-02-03
329,144,133,5,160.23,2025-05-13
330,85,97,3,255.64,2025-02-14
331,92,71,1,251.31,2024-12-26
332,246,100,2,28.93,2024-01-21
333,219,45,5,79.31,2024-10-31
334,431,171,4,260.38,2025-04-07
335,145,12,1,15.21,2025-03-26
336,9,32,4,252.03,2025-04-26
337,154,157,5,56.42,2023-12-17
338,180,46,2,18.39,2025-01-05
339,464,56,4,184.84,2024-02-25
340,24,17,5,202.16,2024-02-12
341,162,139,2,181.04,2025-04-15
342,400,103,1,268.18,2024-05-22
343,370,68,4,87.2,2025-04-29
344,6,165,4,269.89,2024-05-26
345,417,122,4,140.85,2025-01-03
346,49,186,1,150.58,2024-09-29
347,308,105,2,16.06,2025-10-22
348,326,162,4,76.8,2024-07-12
349,358,86,4,12.5,2024-08-29
350,277,50,4,145.02,2024-08-22
351,262,111,1,137.32,2024-07-22
352,439,112,2,95.91,2024-05-26
353,94,136,1,24.5,2025-06-17
354,3,103,2,268.18,2024-09-15
355,244,31,4,65.52,2025-10-15
356,114,38,4,202.09,2024-11-12
357,285,176,2,224.27,2025-09-19
358,268,129,5,283.85,2024-02-22
359,292,92,5,265.82,2024-04-08
360,381,15,2,77.23,2025-10-10
361,465,93,2,20.63,2024-03-18
362,289,143,1,164.03,2025-10-08
363,269,179,5,83.71,2025-04-29
364,182,25,4,34.55,2024-01-03
365,254,143,5,164.03,2024-08-30
366,277,21,4,261.93,2024-09-03
367,276,152,2,92.07,2024-03-15
368,286,124,5,58.39,2024-10-11
369,450,26,4,102.99,2025-05-18
370,8,158,3,263.13,2025-10-21
371,115,52,4,55.43,2024-01-30
372,44,96,2,290.66,2024-08-22
373,182,31,2,65.52,2024-11-26
374,250,25,1,34.55,2024-07-08
375,221,84,3,27.59,2024-09-10
376,271,93,2,20.63,2024-10-03
377,390,81,1,122.0,2024-06-11
378,108,102,3,225.32,2025-05-05
379,449,98,1,115.64,2025-06-07
380,257,53,2,110.05,2025-06-06
381,480,65,3,130.28,2025-01-21
382,453,69,1,214.22,2025-01-29
383,152,149,2,232.57,2024-10-28
384,255,192,3,104.79,2024-03-21
385,82,129,1,283.85,2025-05-25
386,260,7,4,186.49,2024-01-03
387,264,140,2,68.87,2025-07-07
388,146,157,3,56.42,2024-03-07
389,345,85,4,256.69,2023-11-27
390,97,115,4,56.7,2024-10-18
391,370,129,1,283.85,2024-04-02
392,23,124,3,58.39,2024-12-16
393,98,199,4,83.67,2025-06-08
394,276,32,4,252.03,2024-11-23
395,382,65,3,130.28,2025-04-30
396,451,2,2,193.22,2024-10-19
397,189,120,4,231.28,2024-06-20
398,171,169,1,222.31,2024-07-28
399,25,8,2,299.91,2024-11-18
400,348,121,3,191.26,2025-06-03
401,290,139,4,181.04,2024-10-23
402,189,195,5,287.42,2025-06-02
403,53,29,2,223.7,2025-03-07
404,415,46,3,18.39,2024-11-23
405,392,89,1,62.79,2025-03-27
406,312,60,2,258.87,2025-03-07
407,175,120,1,231.28,2025-03-11
408,367,192,3,104.79,2025-11-12
409,90,153,2,242.7,2024-12-13
410,82,74,4,183.4,2024-04-25
411,388,101,5,137.08,2025-09-02
412,50,8,5,299.91,2025-03-22
413,366,76,5,91.97,2024-06-12
414,80,159,3,211.44,2024-10-30
415,259,168,2,12.98,2024-03-19
416,200,190,5,139.51,2025-02-03
417,146,76,2,91.97,2025-07-14
418,41,92,4,265.82,2025-10-07
419,215,21,5,261.93,2024-08-04
420,322,31,5,65.52,2024-11-11
421,323,28,1,13.03,2024-01-20
422,336,93,3,20.63,2024-11-11
423,304,105,1,16.06,2024-11-30
424,439,187,4,244.41,2024-02-14
425,197,137,1,84.4,2024-01-12
426,186,68,2,87.2,2025-01-26
427,80,195,1,287.42,2024-12-15
428,72,14,2,148.25,2024-04-18
429,169,189,4,155.1,2025-05-29
430,184,158,2,263.13,2025-09-02
431,498,140,3,68.87,2024-04-23
432,64,109,5,289.37,2024-12-01
433,315,79,2,276.58,2025-01-02
434,482,30,3,190.64,2025-02-07
435,148,105,5,16.06,2025-09-03
436,44,68,3,87.2,2024-06-16
437,459,45,5,79.31,2025-03-28
438,89,94,5,102.67,2023-12-20
439,258,177,1,28.39,2025-11-11
440,425,101,2,137.08,2024-07-07
441,430,149,2,232.57,2024-08-26
442,266,180,2,276.9,2024-10-09
443,9,60,3,258.87,2025-08-04
444,118,178,1,216.5,2024-07-31
445,242,29,2,223.7,2024-12-06
446,250,87,3,153.2,2025-03-29
447,65,14,5,148.25,2024-09-03
448,64,153,3,242.7,2025-02-21
449,168,153,1,242.7,2024-07-14
450,121,112,3,95.91,2025-06-10
451,47,197,1,43.43,2024-09-22
452,62,186,4,150.58,2024-03-26
453,349,181,2,201.38,2025-02-19
454,136,6,1,189.5,2025-08-24
455,186,95,1,243.1,2024-08-14
456,23,67,3,147.93,2024-08-25
457,288,149,1,232.57,2025-11-20
458,297,137,2,84.4,2024-09-23
459,38,32,1,252.03,2023-12-28
460,304,25,1,34.55,2024-04-03
461,191,159,5,211.44,2025-11-15
462,209,86,3,12.5,2025-03-13
463,111,3,5,216.27,2025-06-09
464,279,48,4,191.49,2025-05-14
465,30,118,1,117.29,2025-09-07
466,391,25,3,34.55,2025-10-27
467,135,168,1,12.98,2024-09-06
468,129,194,3,153.91,2024-07-22
469,404,69,4,214.22,2025-10-19
470,157,159,2,211.44,2025-07-01
471,238,187,3,244.41,2024-10-18
472,395,104,4,127.9,2025-05-26
473,113,107,1,190.01,2024-12-03
474,402,106,5,58.94,2025-07-20
475,297,152,1,92.07,2025-09-01
476,251,25,4,34.55,2025-11-15
477,495,72,2,249.6,2024-07-28
478,253,86,4,12.5,2025-05-01
479,31,117,4,266.42,2023-12-07
480,56,53,5,110.05,2025-03-08
481,32,42,2,122.84,2025-04-06
482,218,16,5,296.13,2025-06-23
483,22,183,2,282.04,2024-12-22
484,124,48,3,191.49,2025-08-17
485,22,65,2,130.28,2025-03-21
486,196,16,4,296.13,2025-04-22
487,119,180,1,276.9,2025-06-26
488,267,4,3,265.85,2024-08-13
489,228,103,2,268.18,2024-03-16
490,213,82,5,296.88,2025-08-29
491,23,164,4,88.85,2024-02-17
492,445,120,5,231.28,2024-10-02
493,231,178,2,216.5,2023-11-29
494,351,55,1,233.67,2025-03-23
495,76,40,4,138.64,2025-06-27
496,329,49,5,243.1,2024-02-21
497,324,115,4,56.7,2025-08-23
498,279,187,2,244.41,2025-07-17
499,469,183,4,282.04,2023-12-28
500,275,199,5,83.67,2025-04-29
501,331,17,1,202.16,2023-12-24
502,215,141,3,260.52,2025-04-20
503,114,60,5,258.87,2024-09-04
504,139,155,1,277.53,2023-11-28
505,27,103,2,268.18,2024-12-04
506,123,95,1,243.1,2024-01-13
507,16,103,2,268.18,2024-09-08
508,495,161,5,266.65,2024-09-15
509,428,86,1,12.5,2024-06-01
510,480,190,4,139.51,2024-02-07
511,430,111,2,137.32,2024-09-06
512,233,53,5,110.05,2025-08-03
513,331,17,1,202.16,2025-03-23
514,385,144,4,296.05,2025-03-18
515,424,50,4,145.02,2023-12-22
516,130,145,2,225.34,2025-02-11
517,499,88,3,28.75,2025-02-06
518,272,197,3,43.43,2024-01-27
519,367,73,4,131.17,2024-07-20
520,58,69,2,214.22,2023-12-18
521,41,194,3,153.91,2024-08-13
522,1,119,4,226.97,2024-12-02
523,166,42,3,122.84,2025-10-17
524,322,187,5,244.41,2024-01-15
525,68,199,3,83.67,2025-08-29
526,125,129,2,283.85,2024-04-25
527,472,194,4,153.91,2024-10-24
528,118,83,1,76.7,2024-09-19
529,150,29,2,223.7,2025-09-26
530,58,137,5,84.4,2025-10-17
531,128,42,3,122.84,2025-07-23
532,306,126,4,287.49,2024-09-10
533,58,195,3,287.42,2023-12-25
534,196,167,2,64.1,2024-06-12
535,106,159,3,211.44,2024-12-07
536,440,181,2,201.38,2024-01-10
537,147,39,4,190.16,2024-04-06
538,350,53,5,110.05,2025-01-14
539,137,20,3,169.8,2025-08-11
540,160,167,3,64.1,2024-10-22
541,225,12,3,15.21,2024-09-30
542,391,121,1,191.26,2025-01-01
543,212,195,3,287.42,2025-08-28
544,280,153,5,242.7,2024-01-05
545,474,107,2,190.01,2024-02-27
546,325,92,4,265.82,2025-09-15
547,185,80,3,102.06,2025-04-16
548,151,121,4,191.26,2023-12-27
549,457,2,2,193.22,2025-11-23
550,482,144,2,296.05,2025-05-25
551,278,9,1,94.57,2025-03-22
